date,day,month,year,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
2015-01-24,24,1,2015,650000.0,4.0,3.0,2950.0,5000.0,2.0,0,3,3,9,1980.0,970,36.0,0,98126,47.5714,-122.375,2140.0,4000.0
2014-07-31,31,7,2014,395000.0,3.0,2.0,1890.0,14040.0,2.0,0,0,3,7,1890.0,0,20.0,0,98019,47.7277,-121.962,1890.0,14018.0
2014-05-29,29,5,2014,485000.0,4.0,1.0,1600.0,4300.0,1.5,0,0,4,7,1600.0,0,98.0,0,98103,47.6648,-122.34299999999999,1610.0,4300.0
2014-12-05,5,12,2014,189000.0,2.0,1.0,1200.0,9850.0,1.0,0,0,4,7,1200.0,0,93.0,0,98002,47.3089,-122.21,1060.0,5095.0
2015-04-24,24,4,2015,230000.0,3.0,1.0,1250.0,9774.0,1.0,0,0,4,7,1250.0,0,46.0,0,98003,47.3343,-122.306,1280.0,8850.0
2014-05-14,14,5,2014,385000.0,4.0,1.75,1620.0,4980.0,1.0,0,0,4,7,860.0,760,67.0,0,98133,47.7025,-122.34100000000001,1400.0,4980.0
2014-07-03,3,7,2014,285000.0,5.0,2.5,2270.0,6300.0,2.0,0,0,3,8,2270.0,0,19.0,0,98092,47.3266,-122.169,2240.0,7005.0
2014-05-16,16,5,2014,252700.0,2.0,1.5,1070.0,9643.0,1.0,0,0,3,7,1070.0,0,29.0,0,98030,47.3533,-122.166,1220.0,8386.0
2014-11-20,20,11,2014,329000.0,3.0,2.25,2450.0,6500.0,2.0,0,0,4,8,2450.0,0,29.0,0,98030,47.3739,-122.17200000000001,2200.0,6865.0
2014-11-03,3,11,2014,233000.0,3.0,2.0,1710.0,4697.0,1.5,0,0,5,6,1710.0,0,73.0,0,98002,47.3048,-122.21799999999999,1030.0,4705.0
2014-06-26,26,6,2014,937000.0,3.0,1.75,2450.0,2691.0,2.0,0,0,3,8,1750.0,700,99.0,0,98119,47.6386,-122.36,1760.0,3573.0
2014-12-01,1,12,2014,667000.0,3.0,1.0,1400.0,1581.0,1.5,0,0,5,8,1400.0,0,105.0,0,98112,47.6221,-122.314,1860.0,3861.0
2014-06-24,24,6,2014,438000.0,3.0,1.75,1520.0,6380.0,1.0,0,0,3,7,790.0,730,66.0,0,98115,47.695,-122.304,1520.0,6235.0
2015-03-02,2,3,2015,719000.0,4.0,2.5,2570.0,7173.0,2.0,0,0,3,8,2570.0,0,10.0,0,98052,47.7073,-122.11,2630.0,6026.0
2014-11-10,10,11,2014,580500.0,3.0,2.5,2320.0,3980.0,2.0,0,0,3,8,2320.0,0,11.0,0,98027,47.5391,-122.07,2580.0,3980.0
2014-12-01,1,12,2014,280000.0,2.0,1.5,1190.0,1265.0,3.0,0,0,3,7,1190.0,0,9.0,0,98133,47.7274,-122.35700000000001,1390.0,1756.0
2014-06-24,24,6,2014,687500.0,4.0,1.75,2330.0,5000.0,1.5,0,0,4,7,1510.0,820,85.0,0,98117,47.6823,-122.368,1460.0,5000.0
2014-11-10,10,11,2014,535000.0,3.0,1.0,1090.0,3000.0,1.5,0,0,4,8,1090.0,0,85.0,0,98117,47.6889,-122.375,1570.0,5080.0
2014-12-03,3,12,2014,322500.0,4.0,2.75,2060.0,6659.0,1.0,0,0,3,7,1280.0,780,33.0,0,98058,47.4276,-122.15700000000001,2020.0,8720.0
2014-06-13,13,6,2014,696000.0,3.0,2.5,2300.0,3060.0,1.5,0,0,3,8,1510.0,790,84.0,2002,98115,47.6827,-122.31,1590.0,3264.0
2014-05-28,28,5,2014,550000.0,4.0,1.0,1660.0,34848.0,1.0,0,0,1,5,930.0,730,81.0,0,98052,47.6621,-122.132,2160.0,11467.0
2014-12-30,30,12,2014,640000.0,4.0,2.0,2360.0,6000.0,2.0,0,0,4,8,2360.0,0,110.0,0,98107,47.6702,-122.36200000000001,1730.0,4700.0
2015-02-13,13,2,2015,240000.0,4.0,1.0,1220.0,8075.0,1.0,0,0,2,7,890.0,330,46.0,0,98001,47.3341,-122.28200000000001,1290.0,7800.0
2014-06-20,20,6,2014,605000.0,4.0,2.5,2620.0,7553.0,2.0,0,0,3,8,2620.0,0,18.0,0,98056,47.5301,-122.18,2620.0,11884.0
2014-07-15,15,7,2014,625000.0,4.0,2.5,2570.0,5520.0,2.0,0,0,3,9,2570.0,0,14.0,0,98074,47.6145,-122.027,2470.0,5669.0
2014-07-07,7,7,2014,861990.0,5.0,2.75,3595.0,5639.0,2.0,0,0,3,9,3595.0,0,0.0,0,98053,47.6848,-122.016,3625.0,5639.0
2014-10-28,28,10,2014,685000.0,3.0,1.0,1570.0,2280.0,2.0,0,0,3,7,1570.0,0,92.0,0,98119,47.6413,-122.36399999999999,1580.0,2640.0
2014-07-29,29,7,2014,309000.0,3.0,1.0,1280.0,9656.0,1.0,0,0,4,6,920.0,360,55.0,0,98058,47.4485,-122.175,1340.0,8808.0
2014-07-18,18,7,2014,488000.0,3.0,2.5,3160.0,13603.0,2.0,0,0,3,8,3160.0,0,11.0,0,98019,47.7443,-121.977,3050.0,9232.0
2015-03-25,25,3,2015,210490.0,3.0,1.0,990.0,8528.0,1.0,0,0,3,6,990.0,0,49.0,0,98023,47.3066,-122.37100000000001,1228.0,8840.0
2014-07-16,16,7,2014,785000.0,4.0,2.5,2290.0,13416.0,2.0,0,0,4,9,2290.0,0,33.0,0,98007,47.6194,-122.15100000000001,2680.0,13685.0
2015-04-28,28,4,2015,450000.0,3.0,1.75,1250.0,5963.0,1.0,0,0,4,7,1250.0,0,62.0,0,98115,47.6796,-122.301,970.0,5100.0
2014-09-16,16,9,2014,228000.0,3.0,1.0,1190.0,9199.0,1.0,0,0,3,7,1190.0,0,59.0,0,98148,47.4258,-122.322,1190.0,9364.0
2015-02-17,17,2,2015,345000.0,5.0,2.5,3150.0,9134.0,1.0,0,0,4,8,1640.0,1510,49.0,0,98056,47.4934,-122.189,1990.0,9133.0
2014-12-31,31,12,2014,600000.0,3.0,1.75,1410.0,4080.0,1.0,0,0,4,7,1000.0,410,64.0,0,98117,47.6808,-122.384,1410.0,4080.0
2015-02-05,5,2,2015,585000.0,2.0,1.75,1980.0,8550.0,1.0,0,0,3,7,990.0,990,34.0,0,98117,47.6989,-122.369,1480.0,6738.0
2015-03-03,3,3,2015,920000.0,5.0,2.25,2730.0,6000.0,1.5,0,0,3,8,2130.0,600,88.0,0,98105,47.6571,-122.281,2730.0,6000.0
2014-05-12,12,5,2014,885000.0,4.0,2.5,2830.0,5000.0,2.0,0,0,3,9,2830.0,0,19.0,0,98105,47.6597,-122.29,1950.0,5000.0
2014-08-19,19,8,2014,292500.0,4.0,2.5,2250.0,4495.0,2.0,0,0,3,7,2250.0,0,6.0,0,98042,47.3663,-122.11399999999999,2250.0,4500.0
2015-04-07,7,4,2015,301000.0,3.0,2.5,2420.0,4750.0,2.0,0,0,3,8,2420.0,0,12.0,0,98042,47.3663,-122.12200000000001,2690.0,4750.0
2014-08-27,27,8,2014,951000.0,5.0,3.25,3250.0,14342.0,2.0,0,4,4,8,3250.0,0,46.0,0,98008,47.588,-122.116,2960.0,11044.0
2015-02-23,23,2,2015,430000.0,4.0,3.0,1850.0,9976.0,2.0,0,0,3,8,1850.0,0,24.0,0,98059,47.5059,-122.149,2270.0,8542.0
2014-12-10,10,12,2014,650000.0,3.0,2.25,2150.0,21235.0,1.0,0,3,4,8,1590.0,560,55.0,0,98166,47.4336,-122.339,2570.0,18900.0
2014-08-28,28,8,2014,289000.0,3.0,1.75,1260.0,8400.0,1.0,0,0,3,7,1260.0,0,60.0,0,98148,47.4366,-122.335,1290.0,8750.0
2014-10-21,21,10,2014,505000.0,3.0,1.75,2519.0,8690.0,2.0,0,0,5,8,2519.0,0,41.0,0,98166,47.4428,-122.344,2500.0,9500.0
2014-12-07,7,12,2014,549000.0,3.0,1.75,1540.0,1044.0,3.0,0,0,3,8,1540.0,0,0.0,0,98115,47.6765,-122.32,1580.0,3090.0
2014-06-03,3,6,2014,425000.0,3.0,2.25,1660.0,6000.0,1.0,0,0,3,7,1110.0,550,35.0,0,98122,47.6113,-122.29700000000001,1440.0,4080.0
2014-11-20,20,11,2014,317625.0,3.0,2.75,2770.0,3809.0,1.5,0,0,5,7,1770.0,1000,89.0,0,98144,47.5747,-122.304,1440.0,4000.0
2014-09-09,9,9,2014,975000.0,4.0,2.5,2720.0,11049.0,2.0,0,0,3,10,2720.0,0,25.0,0,98004,47.5815,-122.19200000000001,2750.0,11049.0
2014-10-09,9,10,2014,287000.0,4.0,2.5,2240.0,4648.0,2.0,0,0,3,7,2240.0,0,9.0,0,98001,47.3378,-122.257,2221.0,4557.0
2014-08-25,25,8,2014,204000.0,3.0,1.0,1000.0,12070.0,1.0,0,0,4,7,1000.0,0,46.0,0,98042,47.3621,-122.11,1010.0,12635.0
2015-01-05,5,1,2015,325000.0,3.0,2.0,1260.0,5612.0,1.0,0,0,4,7,1260.0,0,43.0,0,98034,47.7362,-122.179,1640.0,4745.0
2014-06-10,10,6,2014,571000.0,4.0,2.0,2750.0,7807.0,1.5,0,0,5,7,2250.0,500,98.0,0,98125,47.7168,-122.287,1510.0,7807.0
2014-07-10,10,7,2014,360000.0,4.0,2.5,2380.0,5000.0,2.0,0,0,3,8,2380.0,0,9.0,0,98038,47.3608,-122.036,2420.0,5000.0
2014-10-13,13,10,2014,380000.0,4.0,1.75,1760.0,7300.0,1.0,0,0,3,7,880.0,880,58.0,0,98008,47.6034,-122.125,1680.0,7500.0
2015-04-20,20,4,2015,480000.0,3.0,1.0,1040.0,5060.0,1.0,0,0,3,7,1040.0,0,74.0,0,98116,47.5636,-122.39399999999999,890.0,5060.0
2014-06-09,9,6,2014,410000.0,3.0,1.0,1410.0,5060.0,1.0,0,0,4,7,910.0,500,58.0,0,98133,47.7073,-122.34,1130.0,5693.0
2014-12-02,2,12,2014,390000.0,3.0,2.5,2350.0,5100.0,2.0,0,0,3,8,2350.0,0,11.0,0,98038,47.3512,-122.008,2350.0,5363.0
2014-12-22,22,12,2014,360000.0,4.0,2.5,1900.0,5889.0,2.0,0,0,3,7,1900.0,0,22.0,0,98038,47.349,-122.031,1870.0,6405.0
2014-10-28,28,10,2014,355000.0,2.0,1.0,2020.0,6720.0,1.0,0,0,3,7,1010.0,1010,66.0,0,98118,47.5474,-122.291,1720.0,6720.0
2015-01-28,28,1,2015,356000.0,3.0,1.5,1680.0,8712.0,1.0,0,0,3,8,1680.0,0,51.0,0,98059,47.4811,-122.149,1850.0,8797.0
2014-06-02,2,6,2014,315000.0,3.0,1.0,960.0,6634.0,1.0,0,0,3,6,960.0,0,62.0,0,98125,47.7264,-122.31,1570.0,7203.0
2014-11-14,14,11,2014,940000.0,3.0,1.5,2140.0,3600.0,2.0,0,0,3,9,1900.0,240,89.0,0,98119,47.6337,-122.365,2020.0,4800.0
2014-11-03,3,11,2014,305000.0,5.0,2.25,2660.0,8400.0,1.5,0,0,5,7,2660.0,0,53.0,0,98092,47.2909,-122.189,1590.0,8165.0
2014-06-18,18,6,2014,461000.0,3.0,3.25,2770.0,6278.0,2.0,0,0,3,9,1980.0,790,8.0,0,98056,47.5228,-122.199,1900.0,7349.0
2014-05-19,19,5,2014,215000.0,2.0,2.25,1610.0,2040.0,2.0,0,0,4,7,1610.0,0,35.0,0,98056,47.518,-122.194,1950.0,2025.0
2014-09-04,4,9,2014,335000.0,2.0,1.75,1030.0,1066.0,2.0,0,0,3,7,765.0,265,8.0,0,98136,47.5394,-122.387,1030.0,1106.0
2014-05-22,22,5,2014,243500.0,4.0,2.5,1980.0,7403.0,2.0,0,0,3,7,1980.0,0,26.0,0,98023,47.2897,-122.37200000000001,1980.0,7510.0
2015-03-11,11,3,2015,1099880.0,5.0,2.75,3520.0,6353.0,2.0,0,0,4,10,3520.0,0,14.0,0,98199,47.6506,-122.391,2520.0,6250.0
2015-02-26,26,2,2015,153000.0,3.0,1.0,1200.0,10500.0,1.0,0,0,3,7,1200.0,0,53.0,0,98023,47.321999999999996,-122.351,1350.0,10500.0
2014-07-25,25,7,2014,430000.0,3.0,1.5,1580.0,5000.0,1.0,0,0,3,8,1290.0,290,75.0,0,98117,47.687,-122.38600000000001,1570.0,4500.0
2014-12-23,23,12,2014,700000.0,3.0,1.5,1580.0,5000.0,1.0,0,0,3,8,1290.0,290,75.0,0,98117,47.687,-122.38600000000001,1570.0,4500.0
2014-09-08,8,9,2014,905000.0,4.0,2.5,3300.0,10250.0,1.0,0,0,3,7,2390.0,910,68.0,1991,98040,47.5873,-122.249,1950.0,6045.0
2015-03-30,30,3,2015,247500.0,3.0,1.75,1960.0,15681.0,1.0,0,0,3,7,1960.0,0,48.0,0,98032,47.3576,-122.277,1750.0,15616.0
2014-09-12,12,9,2014,199000.0,4.0,1.5,1160.0,6400.0,1.0,0,0,4,7,1160.0,0,39.0,0,98023,47.3036,-122.37799999999999,1160.0,6400.0
2014-06-11,11,6,2014,850830.0,3.0,2.5,2070.0,13241.0,1.5,0,0,5,9,1270.0,800,104.0,0,98102,47.6415,-122.315,2200.0,4500.0
2014-10-27,27,10,2014,555000.0,3.0,2.0,1980.0,3478.0,1.5,0,0,4,7,1440.0,540,85.0,0,98117,47.6775,-122.37200000000001,1610.0,3478.0
2014-10-07,7,10,2014,1088000.0,3.0,2.5,2920.0,8113.0,2.0,0,0,3,8,2920.0,0,64.0,2010,98004,47.5814,-122.196,2370.0,8113.0
2014-09-24,24,9,2014,290000.0,3.0,1.0,1210.0,33919.0,1.0,0,0,3,7,1210.0,0,60.0,0,98058,47.4375,-122.184,1640.0,14910.0
2015-04-02,2,4,2015,375000.0,3.0,2.5,2340.0,10005.0,1.0,0,0,4,8,1460.0,880,37.0,0,98058,47.4431,-122.133,2250.0,8162.0
2014-05-23,23,5,2014,460000.0,3.0,1.0,1670.0,4005.0,1.5,0,0,4,7,1170.0,500,75.0,0,98117,47.6878,-122.38,1240.0,4005.0
2014-07-23,23,7,2014,188500.0,2.0,1.75,1240.0,2493.0,1.0,0,0,4,8,1240.0,0,29.0,0,98198,47.3813,-122.322,1270.0,4966.0
2014-08-27,27,8,2014,470000.0,5.0,1.75,2030.0,12342.0,2.0,0,0,4,7,2030.0,0,72.0,0,98052,47.6417,-122.109,2500.0,9433.0
2014-07-25,25,7,2014,597750.0,4.0,2.5,2310.0,9624.0,2.0,0,0,3,8,2310.0,0,30.0,0,98027,47.5386,-122.053,1940.0,9636.0
2015-03-04,4,3,2015,570000.0,3.0,1.75,1260.0,3328.0,1.0,0,0,5,6,700.0,560,110.0,0,98103,47.6823,-122.34899999999999,1380.0,3536.0
2014-09-16,16,9,2014,272500.0,3.0,1.75,1540.0,12600.0,1.0,0,0,4,7,1160.0,380,34.0,0,98038,47.3624,-122.031,1540.0,11656.0
2014-11-24,24,11,2014,329950.0,3.0,1.75,2080.0,5969.0,1.0,0,2,3,7,1080.0,1000,43.0,0,98108,47.5474,-122.295,2090.0,5500.0
2014-10-28,28,10,2014,480000.0,4.0,2.5,3230.0,16171.0,2.0,0,3,3,9,2520.0,710,13.0,0,98001,47.3183,-122.25299999999999,2640.0,8517.0
2014-11-21,21,11,2014,740500.0,3.0,3.5,4380.0,6350.0,2.0,0,0,3,8,2780.0,1600,114.0,1999,98117,47.6981,-122.368,1830.0,6350.0
2014-06-26,26,6,2014,518500.0,3.0,3.5,1590.0,1102.0,3.0,0,0,3,8,1590.0,0,4.0,0,98103,47.6824,-122.34700000000001,1620.0,3166.0
2014-06-23,23,6,2014,205425.0,2.0,1.0,880.0,6780.0,1.0,0,0,4,6,880.0,0,69.0,0,98178,47.5009,-122.24799999999999,1190.0,6780.0
2015-01-08,8,1,2015,171800.0,4.0,2.0,1570.0,9600.0,1.0,0,0,3,6,1570.0,0,65.0,0,98168,47.4965,-122.303,1880.0,9000.0
2015-05-11,11,5,2015,535000.0,4.0,1.0,1610.0,2982.0,1.5,0,0,4,7,1610.0,0,90.0,0,98144,47.586999999999996,-122.294,1610.0,4040.0
2015-01-02,2,1,2015,660000.0,3.0,2.5,2400.0,6474.0,1.0,0,2,3,8,1560.0,840,51.0,0,98177,47.7728,-122.38600000000001,2340.0,10856.0
2014-11-19,19,11,2014,391500.0,3.0,2.0,1450.0,9132.0,1.0,0,0,3,7,1450.0,0,27.0,0,98034,47.7288,-122.226,1580.0,9104.0
2015-04-06,6,4,2015,395000.0,2.0,1.0,770.0,6000.0,1.0,0,0,3,6,770.0,0,62.0,0,98117,47.6999,-122.36399999999999,1710.0,6000.0
2014-11-04,4,11,2014,445000.0,4.0,1.75,2100.0,4400.0,1.5,0,0,5,7,1720.0,380,90.0,0,98118,47.5299,-122.266,1850.0,4400.0
2014-06-18,18,6,2014,770000.0,3.0,2.25,2910.0,10204.0,2.0,0,0,3,9,2910.0,0,24.0,0,98052,47.6897,-122.098,2700.0,13992.0
2015-03-02,2,3,2015,1450000.0,4.0,2.75,2750.0,17789.0,1.5,0,0,3,8,1980.0,770,101.0,1992,98004,47.6141,-122.212,3060.0,11275.0
2014-07-17,17,7,2014,445000.0,3.0,2.25,2100.0,8201.0,1.0,0,2,3,8,1620.0,480,47.0,0,98178,47.5091,-122.244,2660.0,8712.0
2014-07-17,17,7,2014,260000.0,4.0,2.25,2160.0,8811.0,1.0,0,0,3,8,1360.0,800,36.0,0,98023,47.3129,-122.39,2090.0,8400.0
2014-06-13,13,6,2014,822500.0,5.0,3.5,2320.0,4960.0,2.0,0,0,5,7,1720.0,600,88.0,0,98103,47.6763,-122.352,1700.0,4960.0
2015-04-06,6,4,2015,430000.0,4.0,2.5,2070.0,4310.0,2.0,0,0,3,7,2070.0,0,11.0,0,98065,47.5319,-121.85,1970.0,3748.0
2015-01-05,5,1,2015,212000.0,3.0,1.75,1060.0,7875.0,1.0,0,0,4,7,1060.0,0,29.0,0,98092,47.2761,-122.152,1420.0,7680.0
2015-04-28,28,4,2015,660500.0,4.0,2.25,2010.0,9603.0,1.0,0,0,3,8,1440.0,570,29.0,0,98027,47.5343,-122.054,2060.0,9793.0
2014-05-12,12,5,2014,453246.0,3.0,2.5,2010.0,2287.0,2.0,0,0,3,8,1390.0,620,0.0,0,98029,47.5517,-121.99799999999999,1690.0,1662.0
2015-01-26,26,1,2015,675000.0,4.0,3.5,2140.0,2278.0,3.0,0,0,3,9,2140.0,0,10.0,0,98107,47.6734,-122.38,1540.0,2285.0
2014-08-13,13,8,2014,199000.0,3.0,1.75,1320.0,17390.0,1.0,0,0,4,7,1320.0,0,58.0,0,98003,47.3257,-122.296,1550.0,19265.0
2014-08-05,5,8,2014,220000.0,4.0,1.75,2020.0,7840.0,1.0,0,0,3,7,1010.0,1010,46.0,0,98003,47.3309,-122.29899999999999,1750.0,8140.0
2014-05-29,29,5,2014,452000.0,4.0,2.25,2590.0,10002.0,1.0,0,0,4,8,1340.0,1250,46.0,0,98028,47.7689,-122.266,1550.0,10436.0
2014-07-07,7,7,2014,382500.0,2.0,1.0,1190.0,4440.0,1.0,0,0,3,6,1190.0,0,33.0,0,98125,47.7135,-122.287,1060.0,5715.0
2014-05-07,7,5,2014,519950.0,3.0,2.25,1170.0,1249.0,3.0,0,0,3,8,1170.0,0,0.0,0,98107,47.6722,-122.381,1350.0,1310.0
2014-06-27,27,6,2014,665000.0,2.0,1.0,1110.0,3200.0,1.0,0,0,3,7,1110.0,0,89.0,0,98119,47.6338,-122.35799999999999,1170.0,3600.0
2014-07-08,8,7,2014,527700.0,5.0,2.5,2820.0,9375.0,1.0,0,0,4,8,1550.0,1270,46.0,0,98006,47.5707,-122.12799999999999,2820.0,9375.0
2015-05-08,8,5,2015,205000.0,3.0,1.0,1610.0,8579.0,1.0,0,0,4,7,1010.0,600,53.0,0,98058,47.4563,-122.171,1610.0,8579.0
2015-04-15,15,4,2015,420000.0,3.0,1.0,1060.0,8097.0,1.0,0,0,4,7,940.0,120,92.0,0,98133,47.7144,-122.351,1560.0,7940.0
2015-02-27,27,2,2015,500000.0,4.0,2.25,2030.0,8517.0,1.0,0,0,4,8,1380.0,650,54.0,0,98006,47.5495,-122.17399999999999,2230.0,8824.0
2014-06-25,25,6,2014,890000.0,4.0,1.0,2550.0,4000.0,2.0,0,0,3,8,2370.0,180,109.0,0,98109,47.6354,-122.353,2200.0,4000.0
2014-10-30,30,10,2014,258000.0,5.0,2.0,2260.0,12500.0,1.0,0,0,4,8,1130.0,1130,54.0,0,98032,47.3887,-122.286,1360.0,18000.0
2014-11-04,4,11,2014,511000.0,3.0,1.0,1430.0,3455.0,1.0,0,0,3,7,980.0,450,67.0,0,98103,47.6873,-122.336,1450.0,4599.0
2014-08-20,20,8,2014,532170.0,3.0,2.0,1360.0,3090.0,2.0,0,0,3,8,1360.0,0,24.0,0,98103,47.6838,-122.353,1500.0,3090.0
2015-04-09,9,4,2015,560000.0,3.0,1.0,1110.0,5000.0,1.5,0,0,3,7,1110.0,0,68.0,0,98107,47.655,-122.359,1420.0,5000.0
2015-03-31,31,3,2015,282950.0,3.0,1.0,1250.0,8200.0,1.0,0,0,4,7,1250.0,0,61.0,0,98003,47.3255,-122.304,1680.0,8633.0
2015-04-01,1,4,2015,2250000.0,4.0,3.25,5180.0,19850.0,2.0,0,3,3,12,3540.0,1640,9.0,0,98006,47.562,-122.162,3160.0,9750.0
2014-05-16,16,5,2014,350000.0,1.0,1.0,700.0,5100.0,1.0,0,0,3,7,700.0,0,72.0,0,98115,47.678999999999995,-122.3,1010.0,5100.0
2014-07-28,28,7,2014,215000.0,3.0,1.0,1180.0,7669.0,1.0,0,0,4,7,1180.0,0,47.0,0,98058,47.4479,-122.176,1190.0,7669.0
2014-11-20,20,11,2014,650000.0,5.0,3.5,3960.0,25245.0,2.0,0,0,3,9,2500.0,1460,18.0,0,98056,47.525,-122.17200000000001,2640.0,13675.0
2014-08-07,7,8,2014,320000.0,4.0,2.75,2640.0,7500.0,1.0,0,0,3,8,1620.0,1020,47.0,0,98023,47.3135,-122.369,1980.0,7875.0
2014-11-13,13,11,2014,247000.0,3.0,2.0,1270.0,7198.0,1.5,0,0,3,7,1270.0,0,98.0,2013,98022,47.2086,-121.99600000000001,1160.0,7198.0
2014-10-03,3,10,2014,320000.0,4.0,1.75,1760.0,11180.0,1.0,0,0,4,8,1760.0,0,46.0,0,98059,47.4715,-122.118,1730.0,11180.0
2014-05-07,7,5,2014,255000.0,5.0,2.25,2060.0,8632.0,1.0,0,0,3,7,1030.0,1030,52.0,0,98146,47.4877,-122.335,1010.0,11680.0
2015-03-09,9,3,2015,438000.0,3.0,1.75,1780.0,9660.0,1.0,0,0,3,7,1780.0,0,53.0,0,98034,47.7171,-122.193,1200.0,9660.0
2015-03-04,4,3,2015,900000.0,3.0,2.5,3400.0,16603.0,2.0,0,0,3,10,3400.0,0,15.0,0,98075,47.6012,-122.023,3400.0,12601.0
2014-06-20,20,6,2014,441000.0,3.0,2.75,1910.0,7280.0,1.0,0,0,3,7,1160.0,750,35.0,0,98034,47.7319,-122.22399999999999,1710.0,8152.0
2014-12-08,8,12,2014,370000.0,3.0,1.75,1580.0,7000.0,1.0,0,0,3,7,1180.0,400,38.0,0,98034,47.7209,-122.16799999999999,1640.0,7500.0
2015-02-19,19,2,2015,269950.0,2.0,1.75,1340.0,7250.0,1.0,0,0,5,5,700.0,640,66.0,0,98198,47.408,-122.32700000000001,1830.0,9750.0
2015-03-24,24,3,2015,807100.0,4.0,2.5,2680.0,4499.0,2.0,0,0,3,9,2680.0,0,16.0,0,98006,47.565,-122.125,2920.0,4500.0
2014-06-05,5,6,2014,653000.0,3.0,2.5,2680.0,9750.0,1.0,0,0,4,8,1610.0,1070,35.0,0,98034,47.7028,-122.23100000000001,2480.0,8750.0
2014-06-11,11,6,2014,371500.0,3.0,2.0,1370.0,8336.0,1.0,0,0,5,7,1370.0,0,50.0,0,98133,47.7458,-122.331,1770.0,7288.0
2015-03-16,16,3,2015,284000.0,3.0,1.75,1560.0,21000.0,1.0,0,0,3,7,1560.0,0,61.0,0,98166,47.4776,-122.337,1070.0,7920.0
2015-01-02,2,1,2015,272000.0,3.0,1.75,2160.0,7140.0,1.0,0,0,4,7,1670.0,490,37.0,0,98023,47.3026,-122.374,1930.0,7350.0
2014-05-02,2,5,2014,313000.0,3.0,1.5,1340.0,7912.0,1.5,0,0,3,7,1340.0,0,59.0,0,98133,47.7658,-122.339,1480.0,7940.0
2014-09-29,29,9,2014,673000.0,4.0,2.25,2590.0,8190.0,2.0,0,0,4,8,2590.0,0,34.0,0,98006,47.5619,-122.125,2260.0,8335.0
2015-02-10,10,2,2015,425000.0,3.0,2.5,1120.0,1100.0,2.0,0,0,3,8,820.0,300,7.0,0,98122,47.6106,-122.31,1590.0,1795.0
2014-07-09,9,7,2014,399950.0,5.0,2.75,1970.0,5400.0,1.0,0,0,3,7,1320.0,650,28.0,0,98144,47.5868,-122.30799999999999,1280.0,2150.0
2014-05-30,30,5,2014,385000.0,3.0,1.0,1220.0,4800.0,1.0,0,0,3,6,1220.0,0,113.0,0,98122,47.6101,-122.307,1200.0,4800.0
